"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"c:\AngularSRDeveloper\proyectoWeb-master\README.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 14, 28
"c:\AngularSRDeveloper\proyectoWeb-master\angular.json", "JSON", 0, 103, 0, 0, 0, 0, 0, 1, 104
"c:\AngularSRDeveloper\proyectoWeb-master\package-lock.json", "JSON", 0, 13810, 0, 0, 0, 0, 0, 1, 13811
"c:\AngularSRDeveloper\proyectoWeb-master\package.json", "JSON", 0, 47, 0, 0, 0, 0, 0, 1, 48
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\Proyecto-Web2.code-workspace", "JSON with Comments", 17, 0, 0, 0, 0, 0, 0, 0, 17
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\acceso-puerta\acceso-puerta.component.css", "CSS", 0, 0, 0, 0, 0, 48, 0, 11, 59
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\acceso-puerta\acceso-puerta.component.html", "HTML", 0, 0, 0, 0, 11, 0, 0, 6, 17
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\acceso-puerta\acceso-puerta.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\acceso-puerta\acceso-puerta.component.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 4, 15, 70
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\acceso-puerta\acceso-puerta.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\acceso-puerta\acceso-puerta.service.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 3, 7, 23
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\acuerdos-usuarios\acuerdos-usuarios.component.css", "CSS", 0, 0, 0, 0, 0, 40, 0, 8, 48
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\acuerdos-usuarios\acuerdos-usuarios.component.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 2, 25
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\acuerdos-usuarios\acuerdos-usuarios.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\acuerdos-usuarios\acuerdos-usuarios.component.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 1, 5, 32
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\acuerdos\acuerdos.component.css", "CSS", 0, 0, 0, 0, 0, 75, 18, 25, 118
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\acuerdos\acuerdos.component.html", "HTML", 0, 0, 0, 0, 47, 0, 0, 6, 53
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\acuerdos\acuerdos.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\acuerdos\acuerdos.component.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 12, 24, 101
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\acuerdos\acuerdos.model.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\acuerdos\acuerdos.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\acuerdos\acuerdos.service.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 8, 35
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\administracion\administracion.component.css", "CSS", 0, 0, 0, 0, 0, 23, 0, 6, 29
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\administracion\administracion.component.html", "HTML", 0, 0, 0, 0, 17, 0, 3, 3, 23
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\administracion\administracion.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
